route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
AR,AR,AR,Arriva,2,33CAD6,000000
AR_BUS,AR,ZKA AR,Arriva (Zastępcza Komunikacja Autobusowa),3,DE4E4E,FFFFFF
IC_EC,IC,EC,EuroCity,2,9D740F,FFFFFF
IC_EIC,IC,EIC,Express InterCity,2,898989,000000
IC_EIP,IC,EIP,Express InterCity Premium,2,002664,FFFFFF
IC_IC,IC,IC,InterCity,2,F25E18,000000
IC_ICN,IC,ICN,Retro Nieśpieszny,2,556B2F,FFFFFF
IC_IC_BUS,IC,ZKA IC,InterCity (Zastępcza Komunikacja Autobusowa),3,DE4E4E,FFFFFF
IC_MP,IC,MP,Międzynarodowy Pospieszny,2,4F4F4F,FFFFFF
IC_TLK,IC,TLK,Twoje Linie Kolejowe,2,8505A3,FFFFFF
IC_TLK_BUS,IC,ZKA TLK,Twoje Linie Kolejowe (Zastępcza Komunikacja Autobusowa),3,DE4E4E,FFFFFF
KD_D1,KD,D1,Wrocław — Legnica — Bolesławiec — Lubań,2,00A65A,FFFFFF
KD_D10,KD,D10,Wrocław — Legnica — Zgorzelec — Görlitz,2,6AC206,000000
KD_D10_BUS,KD,ZKA D10,Wrocław — Legnica — Zgorzelec — Görlitz (Zastępcza Komunikacja Autobusowa),3,DE4E4E,FFFFFF
KD_D11,KD,D11,Wrocław — Legnica — Lubin — Głogów,2,7996D2,000000
KD_D12,KD,D12,Wrocław — Legnica — Głogów — Zielona Góra,2,744191,FFFFFF
KD_D13,KD,D13,Legnica — Chojnów — Chocianów,2,6B8B2A,FFFFFF
KD_D14,KD,D14,Wrocław — Legnica — Żary — Forst,2,007E66,FFFFFF
KD_D2,KD,D2,Wrocław — Ścinawa — Głogów,2,E7BB00,000000
KD_D20,KD,D20,Wrocław — Ścinawa — Głogów — Zielona Góra,2,F9E019,000000
KD_D3,KD,D3,Wrocław — Żmigród — Rawicz,2,C56C37,000000
KD_D30,KD,D30,Wrocław — Żmigród — Rawicz — Leszno,2,CE9361,000000
KD_D31_BUS,KD,D31,Rawicz — Bojanowo — Góra Śląska,3,A65600,FFFFFF
KD_D4,KD,D4,Wrocław — Sobótka — Świdnica — Bielawa,2,F07E02,000000
KD_D40,KD,D40,Wrocław — Jaworzyna Śl. — Świdnica — Bielawa,2,FFC365,000000
KD_D4_BUS,KD,ZKA D4,Wrocław — Sobótka — Świdnica — Bielawa (Zastępcza Komunikacja Autobusowa),3,DE4E4E,FFFFFF
KD_D5,KD,D5,Wrocław — Oława — Brzeg — Opole,2,7B6C55,FFFFFF
KD_D6,KD,D6,Wrocław — Wałbrzych — Jelenia Góra,2,342C81,FFFFFF
