from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
141287,141287,PLK_KD_2026_813535140_LEG0,PLK_KD_2026_813535140_LEG1,1
141287,141287,PLK_KD_2026_242993092_LEG0,PLK_KD_2026_242993092_LEG1,1
141287,141287,PLK_KD_2026_895831695_LEG0,PLK_KD_2026_895831695_LEG1,1
141287,141287,PLK_KD_2026_169636475_LEG0,PLK_KD_2026_169636475_LEG1,1
141287,141287,PLK_KD_2026_995042455_LEG0,PLK_KD_2026_995042455_LEG1,1
141287,141287,PLK_KD_2026_161550937_LEG0,PLK_KD_2026_161550937_LEG1,1
141287,141287,PLK_KD_2026_977238202_LEG0,PLK_KD_2026_977238202_LEG1,1
141287,141287,PLK_KD_2026_725136732_LEG0,PLK_KD_2026_725136732_LEG1,1
141287,141287,PLK_KD_2026_538958316_LEG0,PLK_KD_2026_538958316_LEG1,1
141287,141287,PLK_KD_2026_208145098_LEG0,PLK_KD_2026_208145098_LEG1,1
141287,141287,PLK_KD_2026_153530317_LEG0,PLK_KD_2026_153530317_LEG1,1
141287,141287,PLK_KD_2026_766540418_LEG0,PLK_KD_2026_766540418_LEG1,1
141287,141287,PLK_KD_2026_462493210_LEG0,PLK_KD_2026_462493210_LEG1,1
141287,141287,PLK_KD_2026_750631223_LEG0,PLK_KD_2026_750631223_LEG1,1
141287,141287,PLK_KD_2026_869771838_LEG0,PLK_KD_2026_869771838_LEG1,1
141287,141287,PLK_KD_2026_105035085_LEG0,PLK_KD_2026_105035085_LEG1,1
141287,141287,PLK_KD_2026_353487387_LEG0,PLK_KD_2026_353487387_LEG1,1
141287,141287,PLK_KD_2026_270898180_LEG0,PLK_KD_2026_270898180_LEG1,1
141287,141287,PLK_KD_2026_567663513_LEG0,PLK_KD_2026_567663513_LEG1,1
141287,141287,PLK_KD_2026_416451551_LEG0,PLK_KD_2026_416451551_LEG1,1
141295,141295,PLK_KD_2026_251300774_LEG0,PLK_KD_2026_251300774_LEG1,1
141299,141299,PLK_KD_2026_137116732_LEG0,PLK_KD_2026_137116732_LEG1,1
141299,141299,PLK_KD_2026_424216363_LEG0,PLK_KD_2026_424216363_LEG1,1
141299,141299,PLK_KD_2026_551007337_LEG0,PLK_KD_2026_551007337_LEG1,1
141299,141299,PLK_KD_2026_501648301_LEG0,PLK_KD_2026_501648301_LEG1,1
141299,141299,PLK_KD_2026_693736818_LEG0,PLK_KD_2026_693736818_LEG1,1
141299,141299,PLK_KD_2026_486649983_LEG0,PLK_KD_2026_486649983_LEG1,1
141299,141299,PLK_KD_2026_455525323_LEG0,PLK_KD_2026_455525323_LEG1,1
141299,141299,PLK_KD_2026_269390222_LEG0,PLK_KD_2026_269390222_LEG1,1
141299,141299,PLK_KD_2026_106095997_LEG0,PLK_KD_2026_106095997_LEG1,1
141299,141299,PLK_KD_2026_736003756_LEG0,PLK_KD_2026_736003756_LEG1,1
141299,141299,PLK_KD_2026_354410865_LEG0,PLK_KD_2026_354410865_LEG1,1
141299,141299,PLK_KD_2026_924874337_LEG0,PLK_KD_2026_924874337_LEG1,1
141299,141299,PLK_KD_2026_875964964_LEG0,PLK_KD_2026_875964964_LEG1,1
141299,141299,PLK_KD_2026_636610561_LEG0,PLK_KD_2026_636610561_LEG1,1
141299,141299,PLK_KD_2026_293867892_LEG0,PLK_KD_2026_293867892_LEG1,1
141299,141299,PLK_KD_2026_251300774_LEG1,PLK_KD_2026_251300774_LEG2,1
150200,150200,PLK_PR_2026_582398562_LEG0,PLK_PR_2026_582398562_LEG1,1
150200,150200,PLK_PR_2026_976954289_LEG0,PLK_PR_2026_976954289_LEG1,1
150200,150200,PLK_PR_2026_818172327_LEG0,PLK_PR_2026_818172327_LEG1,1
150200,150200,PLK_PR_2026_237052539_LEG0,PLK_PR_2026_237052539_LEG1,1
150200,150200,PLK_PR_2026_292558076_LEG0,PLK_PR_2026_292558076_LEG1,1
150200,150200,PLK_PR_2026_666739028_LEG0,PLK_PR_2026_666739028_LEG1,1
