trip_id,route_id,service_id,direction_id,shape_id,trip_short_name,trip_headsign,plk_category_code,plk_train_number,plk_train_name
KM_900_1,KM_ZL,KM_0,1,BUS_0,900,Modlin,,,
KM_900_2,KM_ZL,KM_1,1,BUS_0,900,Modlin,,,
KM_900_3,KM_ZL,KM_2,1,BUS_0,900,Modlin,,,
KM_901_1,KM_ZL,KM_3,0,BUS_1,901,Lotnisko Modlin,,,
KM_901_2,KM_ZL,KM_1,0,BUS_1,901,Lotnisko Modlin,,,
KM_901_3,KM_ZL,KM_2,0,BUS_1,901,Lotnisko Modlin,,,
KM_902_1,KM_ZL,KM_3,1,BUS_0,902,Modlin,,,
KM_902_2,KM_ZL,KM_1,1,BUS_0,902,Modlin,,,
KM_902_3,KM_ZL,KM_2,1,BUS_0,902,Modlin,,,
KM_903_1,KM_ZL,KM_3,0,BUS_1,903,Lotnisko Modlin,,,
KM_903_2,KM_ZL,KM_1,0,BUS_1,903,Lotnisko Modlin,,,
KM_903_3,KM_ZL,KM_2,0,BUS_1,903,Lotnisko Modlin,,,
KM_904_1,KM_ZL,KM_3,1,BUS_0,904,Modlin,,,
KM_904_2,KM_ZL,KM_1,1,BUS_0,904,Modlin,,,
KM_904_3,KM_ZL,KM_2,1,BUS_0,904,Modlin,,,
KM_905_1,KM_ZL,KM_3,0,BUS_1,905,Lotnisko Modlin,,,
KM_905_2,KM_ZL,KM_1,0,BUS_1,905,Lotnisko Modlin,,,
KM_905_3,KM_ZL,KM_2,0,BUS_1,905,Lotnisko Modlin,,,
KM_906_1,KM_ZL,KM_3,1,BUS_0,906,Modlin,,,
KM_906_2,KM_ZL,KM_1,1,BUS_0,906,Modlin,,,
KM_906_3,KM_ZL,KM_2,1,BUS_0,906,Modlin,,,
KM_907_1,KM_ZL,KM_3,0,BUS_1,907,Lotnisko Modlin,,,
KM_907_2,KM_ZL,KM_1,0,BUS_1,907,Lotnisko Modlin,,,
KM_907_3,KM_ZL,KM_2,0,BUS_1,907,Lotnisko Modlin,,,
KM_908_1,KM_ZL,KM_3,1,BUS_0,908,Modlin,,,
KM_908_2,KM_ZL,KM_1,1,BUS_0,908,Modlin,,,
KM_908_3,KM_ZL,KM_2,1,BUS_0,908,Modlin,,,
KM_909_1,KM_ZL,KM_3,0,BUS_1,909,Lotnisko Modlin,,,
KM_909_2,KM_ZL,KM_1,0,BUS_1,909,Lotnisko Modlin,,,
KM_909_3,KM_ZL,KM_2,0,BUS_1,909,Lotnisko Modlin,,,
KM_910_1,KM_ZL,KM_3,1,BUS_0,910,Modlin,,,
